Wavelength	Sensitivity
1.0648	8.08237e+14
1.0649	8.11826e+14
1.065	8.15423e+14
1.0651	8.1903e+14
1.0652	8.22646e+14
1.0653	8.26271e+14
1.0654	8.29904e+14
1.0655	8.33547e+14
1.0656	8.37199e+14
1.0657	8.40859e+14
1.0658	8.44529e+14
1.0659	8.49231e+14
1.066	8.53986e+14
1.0661	8.58792e+14
1.0662	8.63651e+14
1.0663	8.68561e+14
1.0664	8.73524e+14
1.0665	8.78539e+14
1.0666	8.83606e+14
1.0667	8.88725e+14
1.0668	8.93896e+14
1.0669	8.99119e+14
1.067	9.04394e+14
1.0671	9.09722e+14
1.0672	9.15101e+14
1.0673	9.20532e+14
1.0674	9.26016e+14
1.0675	9.31551e+14
1.0676	9.37139e+14
1.0677	9.42779e+14
1.0678	9.48471e+14
1.0679	9.54214e+14
1.068	9.6001e+14
1.0681	9.65858e+14
1.0682	9.71759e+14
1.0683	9.77711e+14
1.0684	9.83715e+14
1.0685	9.89771e+14
1.0686	9.9588e+14
1.0687	1.00204e+15
1.0688	1.00825e+15
1.0689	1.01452e+15
1.069	1.02083e+15
1.0691	1.0272e+15
1.0692	1.03362e+15
1.0693	1.0401e+15
1.0694	1.04662e+15
1.0695	1.0532e+15
1.0696	1.05983e+15
1.0697	1.06651e+15
1.0698	1.07324e+15
1.0699	1.08003e+15
1.07	1.08687e+15
1.0701	1.09376e+15
1.0702	1.1007e+15
1.0703	1.10769e+15
1.0704	1.11474e+15
1.0705	1.12241e+15
1.0706	1.13076e+15
1.0707	1.1392e+15
1.0708	1.14775e+15
1.0709	1.1564e+15
1.071	1.16515e+15
1.0711	1.174e+15
1.0712	1.18295e+15
1.0713	1.192e+15
1.0714	1.20116e+15
1.0715	1.21042e+15
1.0716	1.21977e+15
1.0717	1.22923e+15
1.0718	1.23879e+15
1.0719	1.24845e+15
1.072	1.25822e+15
1.0721	1.26808e+15
1.0722	1.27805e+15
1.0723	1.28811e+15
1.0724	1.29828e+15
1.0725	1.30855e+15
1.0726	1.31892e+15
1.0727	1.32939e+15
